City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Pueblo Bello,CO,2022-04-07 02:10:58,8.2041,-76.526,75.72,95,100,1.45
67,Bredasdorp,ZA,2022-04-07 02:10:58,-34.5322,20.0403,56.98,67,91,6.17
68,Samarai,PG,2022-04-07 02:10:59,-10.6167,150.6667,84.97,70,57,17.22
69,Iqaluit,CA,2022-04-07 02:06:12,63.7506,-68.5145,0.7,77,1,17.0
70,Ewa Beach,US,2022-04-07 02:10:59,21.3156,-158.0072,84.15,55,40,16.11
71,Sao Joao Da Barra,BR,2022-04-07 02:10:59,-21.6403,-41.0511,75.56,84,100,6.4
72,Santiago,CL,2022-04-07 02:09:17,-33.4569,-70.6483,70.99,45,0,4.61
73,Severo-Kurilsk,RU,2022-04-07 02:11:00,50.6789,156.125,35.46,93,100,14.9
74,Burnie,AU,2022-04-07 02:11:00,-41.0667,145.9167,60.73,59,0,6.08
75,Ilulissat,GL,2022-04-07 02:11:01,69.2167,-51.1,23.02,86,75,6.91
76,Tamworth,GB,2022-04-07 02:11:01,52.634,-1.6959,46.92,73,35,13.0
77,Darhan,MN,2022-04-07 02:10:45,49.4867,105.9228,54.66,34,11,6.71
78,Odweyne,SO,2022-04-07 02:11:01,9.4092,45.064,68.43,35,0,9.46
79,Eydhafushi,MV,2022-04-07 02:11:02,5.1033,73.0708,83.12,68,10,4.38
80,Ponta Delgada,PT,2022-04-07 02:11:02,37.7333,-25.6667,61.52,88,75,19.57
81,Olinda,BR,2022-04-07 02:11:02,-8.0089,-34.8553,82.13,74,75,4.61
82,Niono,ML,2022-04-07 02:11:03,14.2526,-5.993,87.01,13,57,12.1
83,Broken Hill,AU,2022-04-07 02:11:03,-31.95,141.4333,71.28,41,0,12.91
84,Half Moon Bay,US,2022-04-07 02:11:03,37.4636,-122.4286,78.19,51,0,17.27
85,Krasnoselkup,RU,2022-04-07 02:11:04,65.7,82.4667,18.34,92,100,7.94
86,Madang,PG,2022-04-07 02:11:04,-5.2246,145.7966,86.77,65,92,4.05
87,Lata,PT,2022-04-07 02:11:04,40.1629,-8.3327,54.81,81,100,3.49
88,Husavik,IS,2022-04-07 02:11:05,66.0449,-17.3389,24.71,81,99,7.16
89,Santa Isabel Do Rio Negro,BR,2022-04-07 02:11:05,-0.4139,-65.0192,73.8,97,100,2.64
90,Smolenka,RU,2022-04-07 02:11:06,52.1352,113.4974,34.95,86,40,4.47
91,Ngunguru,NZ,2022-04-07 02:11:06,-35.6167,174.5,70.0,48,64,11.65
92,Namibe,AO,2022-04-07 02:11:06,-15.1961,12.1522,71.53,75,0,4.99
93,Faanui,PF,2022-04-07 02:12:07,-16.4833,-151.75,82.8,74,51,22.28
94,Mount Isa,AU,2022-04-07 02:12:07,-20.7333,139.5,91.17,15,0,18.41
95,Atuona,PF,2022-04-07 02:12:07,-9.8,-139.0333,79.36,75,16,16.71
96,Pisco,PE,2022-04-07 02:12:08,-13.7,-76.2167,66.25,88,0,16.11
97,Kenai,US,2022-04-07 02:12:08,60.5544,-151.2583,45.03,58,0,11.5
98,Palana,RU,2022-04-07 02:12:09,59.1167,159.9667,26.73,80,100,6.15
99,Lafiagi,NG,2022-04-07 02:12:09,8.8667,5.4167,84.63,56,97,3.33
100,Poya,NC,2022-04-07 02:12:09,-21.35,165.15,80.69,85,100,14.85
101,Cape Town,ZA,2022-04-07 02:12:10,-33.9258,18.4232,55.11,81,78,10.04
102,Beringovskiy,RU,2022-04-07 02:12:10,63.05,179.3167,4.23,66,20,5.32
103,Presidencia Roque Saenz Pena,AR,2022-04-07 02:12:10,-26.7852,-60.4388,73.06,95,97,5.82
104,Port Alfred,ZA,2022-04-07 02:12:11,-33.5906,26.891,57.18,73,52,8.01
105,Coihaique,CL,2022-04-07 02:07:53,-45.5752,-72.0662,40.95,93,100,4.61
106,Souillac,MU,2022-04-07 02:12:11,-20.5167,57.5167,76.19,73,96,11.77
107,Dabola,GN,2022-04-07 02:12:12,10.75,-11.1167,80.02,63,100,7.02
108,Puerto Ayora,EC,2022-04-07 02:12:12,-0.7393,-90.3518,77.85,88,87,6.69
109,Batagay-Alyta,RU,2022-04-07 02:12:12,67.8006,130.4114,7.59,81,88,3.8
110,Tiksi,RU,2022-04-07 02:12:13,71.6872,128.8694,-6.99,99,100,6.55
111,Khatanga,RU,2022-04-07 02:12:13,71.9667,102.5,15.35,82,100,17.0
112,Victoria,HK,2022-04-07 02:07:41,22.2855,114.1577,78.96,64,46,4.0
113,Monrovia,LR,2022-04-07 02:12:14,6.3005,-10.7969,74.97,89,100,4.94
114,Voyvozh,RU,2022-04-07 02:12:14,62.892,54.9635,26.42,95,100,7.56
115,Pochutla,MX,2022-04-07 02:12:14,15.7432,-96.4661,78.82,74,9,5.84
